Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 7C:B0:73:FE:D3:B2 from E8:48:B8:C8:20:00 (data size 640) ...
640 bytes from 7C:B0:73:FE:D3:B2 id 31 time 67.90ms
640 bytes from 7C:B0:73:FE:D3:B2 id 32 time 72.06ms
640 bytes from 7C:B0:73:FE:D3:B2 id 33 time 72.18ms
640 bytes from 7C:B0:73:FE:D3:B2 id 34 time 43.79ms
640 bytes from 7C:B0:73:FE:D3:B2 id 35 time 72.05ms
640 bytes from 7C:B0:73:FE:D3:B2 id 36 time 71.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 37 time 116.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 38 time 111.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 39 time 75.79ms
640 bytes from 7C:B0:73:FE:D3:B2 id 40 time 72.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 41 time 76.14ms
640 bytes from 7C:B0:73:FE:D3:B2 id 42 time 72.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 43 time 76.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 44 time 79.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 45 time 112.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 46 time 71.82ms
640 bytes from 7C:B0:73:FE:D3:B2 id 47 time 80.19ms
640 bytes from 7C:B0:73:FE:D3:B2 id 48 time 67.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 49 time 80.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 50 time 71.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 51 time 112.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 52 time 75.92ms
640 bytes from 7C:B0:73:FE:D3:B2 id 53 time 72.09ms
640 bytes from 7C:B0:73:FE:D3:B2 id 54 time 115.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 0 time 111.92ms
640 bytes from 7C:B0:73:FE:D3:B2 id 1 time 92.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 2 time 56.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 3 time 152.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 4 time 119.79ms
640 bytes from 7C:B0:73:FE:D3:B2 id 5 time 103.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 6 time 111.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 7 time 88.21ms
