Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 00:FA:DE:38:CF:50 from B0:3C:DC:A0:26:CE (data size 640) ...
640 bytes from 00:FA:DE:38:CF:50 id 36 time 71.04ms
640 bytes from 00:FA:DE:38:CF:50 id 37 time 48.88ms
640 bytes from 00:FA:DE:38:CF:50 id 38 time 39.96ms
640 bytes from 00:FA:DE:38:CF:50 id 39 time 50.17ms
640 bytes from 00:FA:DE:38:CF:50 id 40 time 41.95ms
640 bytes from 00:FA:DE:38:CF:50 id 41 time 39.06ms
640 bytes from 00:FA:DE:38:CF:50 id 42 time 38.92ms
640 bytes from 00:FA:DE:38:CF:50 id 43 time 49.99ms
640 bytes from 00:FA:DE:38:CF:50 id 44 time 42.03ms
640 bytes from 00:FA:DE:38:CF:50 id 45 time 42.95ms
640 bytes from 00:FA:DE:38:CF:50 id 46 time 39.85ms
640 bytes from 00:FA:DE:38:CF:50 id 47 time 55.17ms
640 bytes from 00:FA:DE:38:CF:50 id 48 time 53.91ms
640 bytes from 00:FA:DE:38:CF:50 id 49 time 38.00ms
640 bytes from 00:FA:DE:38:CF:50 id 50 time 51.96ms
640 bytes from 00:FA:DE:38:CF:50 id 51 time 42.08ms
640 bytes from 00:FA:DE:38:CF:50 id 52 time 38.91ms
640 bytes from 00:FA:DE:38:CF:50 id 53 time 41.96ms
640 bytes from 00:FA:DE:38:CF:50 id 54 time 49.03ms
640 bytes from 00:FA:DE:38:CF:50 id 0 time 40.10ms
640 bytes from 00:FA:DE:38:CF:50 id 1 time 38.00ms
640 bytes from 00:FA:DE:38:CF:50 id 2 time 47.99ms
640 bytes from 00:FA:DE:38:CF:50 id 3 time 52.93ms
640 bytes from 00:FA:DE:38:CF:50 id 4 time 38.87ms
640 bytes from 00:FA:DE:38:CF:50 id 5 time 46.17ms
640 bytes from 00:FA:DE:38:CF:50 id 6 time 54.88ms
640 bytes from 00:FA:DE:38:CF:50 id 7 time 54.95ms
640 bytes from 00:FA:DE:38:CF:50 id 8 time 37.12ms
640 bytes from 00:FA:DE:38:CF:50 id 9 time 38.01ms
640 bytes from 00:FA:DE:38:CF:50 id 10 time 41.00ms
640 bytes from 00:FA:DE:38:CF:50 id 11 time 40.00ms
640 bytes from 00:FA:DE:38:CF:50 id 12 time 34.98ms
640 bytes from 00:FA:DE:38:CF:50 id 13 time 59.97ms
640 bytes from 00:FA:DE:38:CF:50 id 14 time 47.98ms
640 bytes from 00:FA:DE:38:CF:50 id 15 time 37.01ms
640 bytes from 00:FA:DE:38:CF:50 id 16 time 35.90ms
640 bytes from 00:FA:DE:38:CF:50 id 17 time 53.04ms
640 bytes from 00:FA:DE:38:CF:50 id 18 time 57.02ms
640 bytes from 00:FA:DE:38:CF:50 id 19 time 34.95ms
640 bytes from 00:FA:DE:38:CF:50 id 20 time 50.06ms
640 bytes from 00:FA:DE:38:CF:50 id 21 time 53.96ms
640 bytes from 00:FA:DE:38:CF:50 id 22 time 53.97ms
640 bytes from 00:FA:DE:38:CF:50 id 23 time 55.99ms
640 bytes from 00:FA:DE:38:CF:50 id 24 time 40.97ms
640 bytes from 00:FA:DE:38:CF:50 id 25 time 35.03ms
640 bytes from 00:FA:DE:38:CF:50 id 26 time 48.94ms
640 bytes from 00:FA:DE:38:CF:50 id 27 time 39.02ms
640 bytes from 00:FA:DE:38:CF:50 id 28 time 58.99ms
640 bytes from 00:FA:DE:38:CF:50 id 29 time 36.89ms
640 bytes from 00:FA:DE:38:CF:50 id 30 time 59.19ms
640 bytes from 00:FA:DE:38:CF:50 id 31 time 53.92ms
640 bytes from 00:FA:DE:38:CF:50 id 32 time 42.90ms
640 bytes from 00:FA:DE:38:CF:50 id 33 time 55.13ms
640 bytes from 00:FA:DE:38:CF:50 id 34 time 41.90ms
640 bytes from 00:FA:DE:38:CF:50 id 35 time 48.05ms
640 bytes from 00:FA:DE:38:CF:50 id 36 time 44.08ms
640 bytes from 00:FA:DE:38:CF:50 id 37 time 52.97ms
640 bytes from 00:FA:DE:38:CF:50 id 38 time 48.82ms
640 bytes from 00:FA:DE:38:CF:50 id 39 time 38.08ms
640 bytes from 00:FA:DE:38:CF:50 id 40 time 49.01ms
640 bytes from 00:FA:DE:38:CF:50 id 41 time 51.91ms
640 bytes from 00:FA:DE:38:CF:50 id 42 time 54.94ms
640 bytes from 00:FA:DE:38:CF:50 id 43 time 65.12ms
640 bytes from 00:FA:DE:38:CF:50 id 44 time 82.10ms

DoS attack stopped.
Disconnecting from the device...

Running l2ping command...

Mean_difference: .180328

response_perc: 0

Max_response: 


Peer supports Echo packets, evaluating as older Android version...
Unable to determine the Android version
